Name,WIGOS ID,Type,Elevation (m),Status,GBON,Latitude,Longitude,OSCAR URL
Aberdeen,0-388-549-78397,Surface AWS,152,Closed,No,18.195,-77.701667,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/122142
Abingdon,0-388-210-78397,Surface AWS,17,Closed,No,18.383319,-78.294558,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/112112
Above Rocks,0-388-430-78397,Surface AWS,305,Closed,No,18.099864,-76.87363,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/118703
Accompong,0-388-550-78397,Surface AWS,457,Closed,No,18.22416667,-77.756111,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/122143
Acton (Hacton TRELAWNY),0-388-796-78397,Surface AWS,9,Closed,No,18.396852,-77.726953,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/128058
Adelphi,0-388-607-78397,Surface AWS,137,Closed,No,18.446131,-77.794239,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/126543
Aeolous,0-388-709-78397,Surface AWS,284,Closed,No,17.907353,-76.53555,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/127376
Agualta Vale,0-388-661-78397,Surface AWS,15,Closed,No,18.258189,-76.787439,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/126789
Airy Mount Dunrobin,0-388-294-78397,Surface AWS,686,Closed,No,18.0225,-77.520833,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/112909
Albany,0-388-797-78397,Surface AWS,31,Closed,No,18.2625,-78.21305556,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/128059
Albany,0-388-662-78397,Surface AWS,53,Closed,No,18.2975,-76.86388889,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/126790
Albert Town,0-388-755-78397,Surface AWS,579,Closed,No,18.29305556,-77.541667,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/127797
Albion,0-388-382-78397,Surface AWS,671,Closed,No,18.3,-77.216667,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/113847
Alcan EWARTON,0-388-431-78397,Surface AWS,259,Closed,No,18.174954,-77.089881,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/118704
Alcan Mandeville,0-388-295-78397,Surface AWS,671,Closed,No,18.048403,-77.513236,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/112910
Alexandria,0-388-383-78397,Surface AWS,650,Closed,No,18.30666667,-77.35277778,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/113848
Alligator Pond,0-388-296-78397,Surface AWS,9,Closed,No,17.86805556,-77.565,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/112911
Allside,0-388-756-78397,Surface AWS,686,Closed,No,18.26166667,-77.55972222,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/127811
Amity Hall,0-388-710-78397,Surface AWS,109,Closed,No,17.96027778,-76.24111111,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/127377
Amity Hall,0-388-106-78397,Surface AWS,17,Unknown,No,17.80583333,-77.26,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/111231
Amity Hall,0-388-608-78397,Surface AWS,213,Closed,No,18.397484,-77.816544,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/126544
Amity Hall,0-388-432-78397,Surface AWS,12,Closed,No,17.92916667,-77.047778,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/118705
Anchovy,0-388-609-78397,Surface AWS,229,Closed,No,18.40833333,-77.9375,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/126545
Angels,0-388-433-78397,Surface AWS,29,Closed,No,18.03305556,-76.979722,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/118707
Annotto Bay,0-388-663-78397,Surface AWS,3,Closed,No,18.267875,-76.781245,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/126791
Appleton,0-388-61-78397,Surface AWS,122,Closed,No,18.166263,-77.719193,https://oscar.wmo.int/surface/#/search/station/stationReportDetails/110969
