Station,Station alias,	Date established,	Date closed,Declared reporting status,Assessed reporting status,Station type,WIGOS Station Identifier(s),WMO Region,Regional WIGOS Center,Country,Latitude,Longitude,Elevation,Geopositioning method,Time zone,Supervising organization,Station URL,Other link (URL),Site description,Climate zone,Predominant surface cover,Surface roughness,Topography or bathymetry,Population in 10km/50km,Programs/Network affiliation,Program/Network approval status,	Last updated date,Last updated by
EBINI,,	1971-01-01,,Operational,Unknown,Land (fixed),0-20000-0-81010|primary,South America,RWC Brazil,Guyana,5.5666666667,-57.7833333333,28,,,Hydrometeorological Service [Guyana],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AGRIMET;EVAP;RBSN(S);SOILTEMP;SOLRA;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Solar radiation measurements.,,,,,,"GOS General:Operational, RBON:Operational, RBSN(S) - deprecated:Closed","GOS General:Approved,RBON:Approved,RBSN(S) - deprecated:Approved",	2023-04-29,Satesh Nanlall
GEORGETOWN,GEORGETOWN (81001-0),	1901-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-81001|primary,South America,RWC Brazil,Guyana,6.8,-58.15,1,,,Hydrometeorological Service [Guyana],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);EVAP;SOILTEMP;SOLRA;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Solar radiation measurements.,,,,,,"CLIMAT(C) - deprecated:Closed, GOS General:Operational, RBON:Operational","CLIMAT(C) - deprecated:Approved,GOS General:Approved,RBON:Approved",	2023-08-03,Satesh Nanlall
KAIETEUR FALLS,,	1967-01-01,,Operational,Unknown,Land (fixed),0-20000-0-81080|primary,South America,RWC Brazil,Guyana,5.1833333333,-59.4833333333,438,,,Hydrometeorological Service [Guyana],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;EVAP;RBSN(S);SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"RBON:Operational, RBSN(S) - deprecated:Closed","RBON:Approved,RBSN(S) - deprecated:Approved",	2023-05-04,Satesh Nanlall
KAMARANG,,	1966-01-01,,Operational,Unknown,Land (fixed),0-20000-0-81005|primary,South America,RWC Brazil,Guyana,5.8833333333,-60.5,494,,,Hydrometeorological Service [Guyana],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;EVAP;RBSN(S);SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GOS General:Operational, RBON:Operational, RBSN(S) - deprecated:Closed","GOS General:Approved,RBON:Approved,RBSN(S) - deprecated:Approved",	2023-04-29,Satesh Nanlall
LETHEM,,	1962-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-81006|primary,South America,RWC Brazil,Guyana,3.3666666667,-59.8,82,,,Hydrometeorological Service [Guyana],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;EVAP;RBSN(S);SOLRA;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Solar radiation measurements.,,,,,,"RBON:Operational, RBSN(S) - deprecated:Closed","RBON:Approved,RBSN(S) - deprecated:Approved",	2023-05-04,Satesh Nanlall
MABARUMA,,	1962-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-81100|primary,South America,RWC Brazil,Guyana,8.2,-59.7833333333,50,,,Hydrometeorological Service [Guyana],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;RBSN(S) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"RBON:Operational, RBSN(S) - deprecated:Closed","RBON:Approved,RBSN(S) - deprecated:Approved",	2023-05-04,Satesh Nanlall
NEW AMSTERDAM,,	1990-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-81058|primary,South America,RWC Brazil,Guyana,6.24793,-57.5171,1,,UTC-4,Hydrometeorological Service [Guyana],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: EVAP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Equatorial rainforest - fully humid,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within plains of very low altitude,,GOS General:Operational,GOS General:Approved,	2023-04-29,Satesh Nanlall
OGLE INTERNATIONAL AIRPORT,,	2001-12-01,,Operational,Operational,Land (fixed),0-20000-0-81003|primary,South America,RWC Brazil,Guyana,6.8068,-58.1035,3,,UTC-4,Hydrometeorological Service [Guyana],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within plains of very low altitude,,"GBON:Operational, GOS General:Operational, RBON:Operational","GBON:Approved,GOS General:Approved,RBON:Pending",	2023-04-21,Satesh Nanlall
RADAR Guyana,,	2009-10-23,,Operational,Unknown,Land (fixed),0-328-0-RADAR|primary,South America,RWC Brazil,Guyana,6.4833333333,-58.25,,,,,,,,,,,,,WRO:Operational,WRO:Approved,	2024-06-10,Satesh Nanlall
TIMEHRI/CHEDDI JAGAN INTERNATIONAL,,	1968-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-81002|primary,South America,RWC Brazil,Guyana,6.5,-58.25,28,,UTC-4,Hydrometeorological Service [Guyana],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;METAR;RAREP;RBCN;RBSN(ST);SOLRA;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Solar radiation measurements.,Equatorial rainforest - fully humid,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(ST) - deprecated:Closed","CLIMAT(C) - deprecated:Approved,GBON:Approved,RBCN - deprecated:Approved,RBON:Approved,RBSN(ST) - deprecated:Approved",	2026-03-26,Satesh Nanlall
